Order ID,Order Date,Ship Date,Catomer Name,Country,City,State,Category,Product Name,Sales,Quantity,Profit,,concat for Query,,,,,,,,,,,,,,,,,,,,,,
CA-2013-138688,6/13/2013,6/17/2013,Sarah Roy,United States,Los Angeles,California,Furnishings,Wooden Coat Rack,14.62,2,6.87,,"('CA-2013-138688', '2013-06-13', '2013-06-17', 'Sarah Roy', 'United States', 'Los Angeles', 'California', 'Furnishings', 'Wooden Coat Rack', 14.62, 2, 6.87),",,,,,,,,,,,,,,,,,,,,,,
CA-2011-115812,6/9/2011,6/14/2011,Ananya Patel,United States,Los Angeles,California,Binders,Budget Portfolio Binder,48.86,7,14.17,,"('CA-2011-115812', '2011-06-09', '2011-06-14', 'Ananya Patel', 'United States', 'Los Angeles', 'California', 'Binders', 'Budget Portfolio Binder', 48.86, 7, 14.17),",,,,,,,,,,,,,,,,,,,,,,Category
CA-2011-115812,6/9/2011,6/14/2011,Sneha Miller,United States,Los Angeles,California,Accessories,Classic Laptop Stand,7.28,4,1.97,,"('CA-2011-115812', '2011-06-09', '2011-06-14', 'Sneha Miller', 'United States', 'Los Angeles', 'California', 'Accessories', 'Classic Laptop Stand', 7.28, 4, 1.97),",,,,,,,,,,,,,,,,,,,,,,Furnishings
CA-2011-115812,6/9/2011,6/14/2011,Vivaan Khan,United States,Los Angeles,California,Appliances,Budget Coffee Maker,907.15,4,90.72,,"('CA-2011-115812', '2011-06-09', '2011-06-14', 'Vivaan Khan', 'United States', 'Los Angeles', 'California', 'Appliances', 'Budget Coffee Maker', 907.15, 4, 90.72),",,,,,,,,,,,,,,,,,,,,,,Binders
CA-2011-115812,6/9/2011,6/14/2011,Aisha Kulkarni,United States,Los Angeles,California,Machines,Classic Binding Machine,18.5,3,5.78,,"('CA-2011-115812', '2011-06-09', '2011-06-14', 'Aisha Kulkarni', 'United States', 'Los Angeles', 'California', 'Machines', 'Classic Binding Machine', 18.50, 3, 5.78),",,,,,,,,,,,,,,,,,,,,,,Accessories
CA-2011-115812,6/9/2011,6/14/2011,Amit Verma,United States,Los Angeles,California,Tables,Modern Side Table,114.9,5,34.47,,"('CA-2011-115812', '2011-06-09', '2011-06-14', 'Amit Verma', 'United States', 'Los Angeles', 'California', 'Tables', 'Modern Side Table', 114.90, 5, 34.47),",,,,,,,,,,,,,,,,,,,,,,Appliances
CA-2011-115812,6/9/2011,6/14/2011,Amit Miller,United States,Los Angeles,California,Phones,Compact Cordless Phone,1706.18,9,85.31,,"('CA-2011-115812', '2011-06-09', '2011-06-14', 'Amit Miller', 'United States', 'Los Angeles', 'California', 'Phones', 'Compact Cordless Phone', 1706.18, 9, 85.31),",,,,,,,,,,,,,,,,,,,,,,Machines
CA-2011-115812,6/9/2011,6/14/2011,Sophia Reddy,United States,Los Angeles,California,Supplies,Heavy-Duty Glue Stick,911.42,4,68.36,,"('CA-2011-115812', '2011-06-09', '2011-06-14', 'Sophia Reddy', 'United States', 'Los Angeles', 'California', 'Supplies', 'Heavy-Duty Glue Stick', 911.42, 4, 68.36),",,,,,,,,,,,,,,,,,,,,,,Tables
CA-2013-161389,12/6/2013,12/11/2013,Aditya Smith,United States,Seattle,Washington,Appliances,Steel Electric Kettle,407.98,3,132.59,,"('CA-2013-161389', '2013-12-06', '2013-12-11', 'Aditya Smith', 'United States', 'Seattle', 'Washington', 'Appliances', 'Steel Electric Kettle', 407.98, 3, 132.59),",,,,,,,,,,,,,,,,,,,,,,Phones
CA-2011-167164,5/13/2011,5/15/2011,Riya Kulkarni,United States,West Jordan,Utah,Supplies,Wooden Glue Stick,55.5,2,9.99,,"('CA-2011-167164', '2011-05-13', '2011-05-15', 'Riya Kulkarni', 'United States', 'West Jordan', 'Utah', 'Supplies', 'Wooden Glue Stick', 55.50, 2, 9.99),",,,,,,,,,,,,,,,,,,,,,,Supplies
